Text,Speaker
central perk.,break
there's nothing to tell! he's just some guy i work with!,monica
"c'mon, you're going out with the guy! there's gotta be something wrong with him!",joey
so does he have a hump? a hump and a hairpiece?,chandler
"wait, does he eat chalk?",phoebe
"just, 'cause, i don't want her to go through what i went through with carl- oh!",phoebe
"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",monica
sounds like a date to me.,chandler
,break
"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",chandler
"oh, yeah. had that dream.",all
"then i look down, and i realise there's a phone... there.",chandler
instead of...?,joey
that's right.,chandler
never had that dream.,joey
no.,phoebe
"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",chandler
,break
hi.,ross
"this guy says hello, i wanna kill myself.",joey
"are you okay, sweetie?",monica
"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",ross
cookie?,chandler
let me get you some coffee.,monica
ooh! oh!,phoebe
"no, no don't! stop cleansing my aura! no, just leave my aura alone, okay? i'll be fine, alright? really, everyone. i hope she'll be very happy.",ross
no you don't.,monica
"no i don't, to hell with her, she left me!",ross
and you never knew she was a lesbian...,joey
"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",ross
sometimes i wish i was a lesbian... did i say that out loud?,chandler
"alright ross, look. you're feeling a lot of pain right now. you're angry. you're hurting. can i tell you what the answer is?",joey
"strip joint! c'mon, you're single! have some hormones!",joey
"i don't want to be single, okay? i just... i just- i just wanna be married again!",ross
and i just want a million dollars!,chandler
rachel?!,monica
"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",rachel
can i get you some coffee?,waitress
"this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",monica
"hi, sure!",rachel
hi.,ross
"so you wanna tell us now, or are we waiting for four wet bridesmaids?",monica
"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",rachel
who wasn't invited to the wedding.,monica
"ooh, i was kinda hoping that wouldn't be an issue...",rachel
monica's apartment,break
"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",monica
"daddy, i just... i can't marry him! i'm sorry. i just don't love him. well, it matters to me!",rachel
"ooh, she should not be wearing those pants.",chandler
i say push her down the stairs.,joey
push her down the stairs! push her down the stairs! push her down the stairs!,phoebe+ross+chandler+joey
"c'mon daddy, listen to me! all of my life, everyone has always told me, 'you're a shoe! you're a shoe, you're a shoe, you're a shoe!'. and today i just stopped and i said, 'what if i don't wanna be a shoe? what if i wanna be a- a purse, y'know? or a- or a hat! no, i'm not saying i want you to buy me a hat, i'm saying i am a ha- it's a metaphor, daddy!",rachel
you can see where he'd have trouble.,ross
"look daddy, it's my life. well maybe i'll just stay here with monica.",rachel
"well, i guess we've established who's staying here with monica...",monica
"well, maybe that's my decision. well, maybe i don't need your money. wait!! wait, i said maybe!!",rachel
,break
"just breathe, breathe.. that's it. just try to think of nice calm things...",monica
..bluebells and sleighbells and- something with mittens... la la la la...,phoebe
i'm all better now.,rachel
i helped!,phoebe
"okay, look, this is probably for the best, y'know? independence. taking control of your life.",monica
"and hey, you need anything, you can always come to joey. me and chandler live across the hall. and he's away a lot.",joey
"joey, stop hitting on her! it's her wedding day!",monica
"what, like there's a rule or something?",joey
"please don't do that again, it's a horrible sound.",chandler
"it's, uh, it's paul.",paul
buzz him in!,monica
who's paul?,joey
"paul the wine guy, paul?",ross
maybe.,monica
wait. your 'not a real date' tonight is with paul the wine guy?,joey
he finally asked you out?,ross
yes!,monica
"ooh, this is a dear diary moment.",chandler
"rach, wait, i can cancel...",monica
"please, no, go, that'd be fine!",rachel
"are, are you okay? i mean, do you want me to stay?",monica
that'd be good...,ross
really?,monica
"no, go on! it's paul the wine guy!",ross
"hi, come in! paul, this is.. ... everybody, everybody, this is paul.",monica
hey! paul! hi! the wine guy! hey!,all
"i'm sorry, i didn't catch your name. paul, was it?",chandler
two seconds.,monica
"ooh, i just pulled out four eyelashes. that can't be good.",phoebe
"so rachel, what're you, uh... what're you up to tonight?",ross
"well, i was kinda supposed to be headed for aruba on my honeymoon, so nothing!",rachel
"right, you're not even getting your honeymoon, god.. no, no, although, aruba, this time of year... talk about your- -big lizards... anyway, if you don't feel like being alone tonight, joey and chandler are coming over to help me put together my new furniture.",ross
"yes, and we're very excited about it.",chandler
"well actually thanks, but i think i'm just gonna hang out here tonight..",rachel
"okay, sure.",ross
"hey pheebs, you wanna help?",joey
"oh, i wish i could, but i don't want to.",phoebe
ross' apartment,break
"i'm supposed to attach a brackety thing to the side things, using a bunch of these little whim guys. i have no brackety thing, i see no whim guys whatsoever and- i cannot feel my legs.",ross
what's this?,joey
i have no idea.,chandler
done with the bookcase!,joey
all finished!,chandler
"this was carol's favourite beer. she always drank it out of the can, i should have known.",ross
"ross, let me ask you a question. she got the furniture, the stereo, the good tv- what did you get?",joey
you guys.,ross
"oh, man.",chandler
you got screwed.,joey
,break
oh my god!,monica
"i know, i know, i'm such an idiot. i guess i should have caught on when she started going to the dentist four and five times a week. i mean, how clean can teeth get?",paul
"my brother's going through that right now, he's such a mess. how did you get through it?",monica
"well, you might try accidentally breaking something valuable of hers, say her-",paul
-leg?,monica
"that's one way! me, i- i went for the watch.",paul
you actually broke her watch?,monica
,break
"you know what the scariest part is? what if there's only one woman for everybody, y'know? i mean what if you get one woman- and that's it? unfortunately in my case, there was only one woman- for her...",ross
